# KIC      Mass    Mass_e+ Radius  Radius_e+ Age         Age_e+     MH_0     MH_0_e+ Y       Y_e+   
  11772920 0.80276 0.0189  0.83649 0.00674   9309.70221  686.8304   0.11562  0.08131 0.31184 0.0202 
  12009504 1.30811 0.012   1.45505 0.00451   3409.05284  219.50118  0.21159  0.03193 0.24514 0.00463
  12069127 1.60257 0.04559 2.30744 0.02411   1940.83635  110.69518  0.2604   0.07715 0.28387 0.02399
  12069424 1.04408 0.00744 1.21285 0.00278   7092.15843  256.5731   0.19511  0.03786 0.28021 0.00966
  12069449 0.9984  0.00703 1.09938 0.00253   7002.40909  208.43243  0.18018  0.0375  0.28364 0.00895
  12258514 1.3029  0.00935 1.62509 0.00326   4714.19658  210.61893  0.20245  0.02299 0.24476 0.00446
  12317678 1.47707 0.01834 1.87469 0.00889   1995.39446  116.96574  0.09017  0.07506 0.26436 0.01775
  Sun      0.99791 0.00724 0.99754 0.00215   4690.01252  220.13824  -0.0076  0.05053 0.25644 0.01068
  3425851  1.33074 0.05073 1.40775 0.01809   1896.76113  357.68989  0.18415  0.07363 0.26222 0.01914
  3544595  0.90372 0.02193 0.91613 0.00766   6636.73301  548.10211  -0.06723 0.06195 0.26485 0.01825
  4141376  1.02334 0.0429  1.03933 0.01488   3448.65982  928.91871  -0.12387 0.07615 0.2647  0.02117
  4349452  1.24758 0.04952 1.328   0.01816   2345.34285  382.83015  0.15494  0.06966 0.26984 0.02258
  4914423  1.16779 0.03544 1.47669 0.0154    6584.63792  719.06757  0.20728  0.05652 0.25792 0.01692
  5094751  1.10052 0.04355 1.35174 0.01821   5961.70129  650.76437  0.12271  0.06348 0.27569 0.02541
  5866724  1.293   0.05229 1.43136 0.01938   2860.40665  346.2576   0.26009  0.0564  0.2702  0.02303
  6196457  1.32208 0.04838 1.76232 0.02257   4204.45599  408.05404  0.28875  0.06833 0.2772  0.02562
  6278762  0.75197 0.01711 0.75135 0.00581   11793.53218 1456.72956 -0.13778 0.05488 0.25408 0.01283
  6521045  1.09804 0.02211 1.50444 0.01053   6681.56564  386.98904  0.17745  0.04599 0.28729 0.01546
  7670943  1.28595 0.05791 1.43502 0.02253   2348.48037  325.24416  0.169    0.08027 0.27834 0.02579
  8077137  1.26161 0.03993 1.6915  0.01909   3857.23987  331.80386  0.04793  0.05124 0.26939 0.02179
  8292840  1.22154 0.03006 1.36849 0.01192   3067.97783  345.66109  -0.01908 0.05628 0.25165 0.01076
  8349582  1.04022 0.0254  1.40248 0.01205   8525.32363  654.26946  0.3554   0.04913 0.31168 0.01512
  8478994  0.85375 0.01609 0.78568 0.00503   3505.352    1013.57284 -0.14073 0.0407  0.24528 0.0051 
  8494142  1.18111 0.07189 1.78222 0.03353   4223.77464  438.30527  0.22452  0.05575 0.32398 0.02009
  8554498  1.24903 0.03885 1.81793 0.01783   5298.0576   412.96384  0.26944  0.03931 0.27629 0.01674
  8866102  1.32231 0.03733 1.38975 0.01365   1892.35075  234.10596  0.2084   0.0611  0.2646  0.01879
  9592705  1.54848 0.05728 2.14047 0.02692   2250.73784  133.17575  0.37612  0.06032 0.29251 0.0256 
  10514430 1.046   0.01266 1.57829 0.00707   8411.84054  316.59111  -0.06012 0.04387 0.25564 0.00735
  10586004 1.26604 0.02963 1.68902 0.0153    6388.54743  924.47365  0.3482   0.05258 0.2573  0.01687
  10666592 1.58194 0.06334 2.01518 0.02821   1864.65475  97.91893   0.37132  0.05614 0.28376 0.02658
  11133306 1.11673 0.05442 1.20682 0.0198    4551.53275  987.6181   0.13012  0.07411 0.26471 0.02009
  11295426 0.90622 0.03287 1.13033 0.01984   8079.85455  828.54707  0.14044  0.04307 0.33244 0.01054
  11401755 1.07184 0.01676 1.63423 0.00903   7229.19304  378.67022  -0.10091 0.02765 0.2571  0.01107
  11807274 1.27557 0.05329 1.59425 0.02264   3309.70582  253.79708  0.13199  0.05797 0.27824 0.02596
  11853905 1.18385 0.02967 1.58033 0.01329   6923.66495  655.11921  0.19087  0.04824 0.25002 0.00981
  11904151 0.91178 0.02769 1.06257 0.01101   10275.5948  751.17008  0.05341  0.06814 0.27956 0.02265
